epoch,loss,accuracy,val_loss,val_accuracy
1,0.4933159649372101,0.8423833250999451,0.06614921241998672,0.9793000221252441
2,0.1482333242893219,0.9607166647911072,0.052852239459753036,0.984499990940094
3,0.10850188136100769,0.9708166718482971,0.0344105027616024,0.9900000095367432
4,0.08485043048858643,0.9786333441734314,0.03250676393508911,0.9915000200271606
5,0.07235684245824814,0.9814500212669373,0.03174546733498573,0.9912999868392944
6,0.06162765994668007,0.9840166568756104,0.03045017085969448,0.991100013256073
7,0.05373438075184822,0.986466646194458,0.02847602777183056,0.9914000034332275
8,0.05006301775574684,0.9868500232696533,0.0314771942794323,0.991599977016449
9,0.04554778337478638,0.9885500073432922,0.02793051116168499,0.9921000003814697
10,0.040786661207675934,0.989383339881897,0.02794920653104782,0.9929999709129333
